from,to,dist_m,speed_kmh,weight_sec,road_name,travel_time_sec,traffic_light_delay_sec,maneuver_delay_sec,intersection_delay_sec,left_turn_count,right_turn_count,straight_count
UNESA Ketintang,Ciputra World,4722.3,40.0,628.01,Jalan Taman Ketintang Wiyata,425.0,0.0,203.0,203.0,5,10,26
UNESA Ketintang,Royal Plaza,2228.9,40.0,293.6,Jalan Taman Ketintang Wiyata,200.6,0.0,93.0,93.0,6,3,11
UNESA Ketintang,Terminal Bungurasih,5792.8,40.0,747.35,Unknown,521.4,30.0,209.0,226.0,3,11,28
UNESA Ketintang,Terminal Wonokromo,3712.7,40.0,501.14,Jalan Taman Ketintang Wiyata,334.1,0.0,167.0,167.0,8,7,19
UNESA Ketintang,Pelabuhan Tanjung Perak,18462.6,42.5,1607.51,Jalan Taman Ketintang Wiyata,1384.5,0.0,223.0,223.0,15,7,26
UNESA Ketintang,RSUD Dr. Soetomo,8008.1,40.0,994.73,Jalan Taman Ketintang Wiyata,720.7,0.0,274.0,274.0,8,12,38
UNESA Ketintang,Masjid Al-Akbar,6272.7,40.0,731.54,Unknown,564.5,15.0,155.0,167.0,3,5,30
UNESA Ketintang,Kebun Binatang Surabaya,4126.4,40.0,591.38,Jalan Taman Ketintang Wiyata,371.4,0.0,220.0,220.0,9,13,15
UNESA Ketintang,Simpang Jl. Ahmad Yani,2129.8,40.0,324.68,Jalan Taman Ketintang Wiyata,191.7,0.0,133.0,133.0,4,8,11
UNESA Ketintang,Simpang Wonokromo,3712.7,40.0,501.14,Jalan Taman Ketintang Wiyata,334.1,0.0,167.0,167.0,8,7,19
UNESA Ketintang,Simpang Darmo - Polda,5316.0,40.0,693.44,Jalan Taman Ketintang Wiyata,478.4,0.0,215.0,215.0,7,9,30
UNESA Ketintang,Bundaran Waru,5024.9,40.0,637.24,Unknown,452.2,30.0,168.0,185.0,3,6,31
UNESA Ketintang,Simpang Jl. Diponegoro,6174.6,40.0,769.71,Jalan Taman Ketintang Wiyata,555.7,0.0,214.0,214.0,5,9,33
UNESA Ketintang,Simpang Raya Darmo,4287.3,40.0,563.86,Jalan Taman Ketintang Wiyata,385.9,0.0,178.0,178.0,4,8,26
UNESA Ketintang,Simpang Joyoboyo,1821.2,40.0,248.91,Jalan Taman Ketintang Wiyata,163.9,0.0,85.0,85.0,5,3,10
UNESA Ketintang,Simpang HR Muhammad,5872.6,40.0,804.53,Jalan Taman Ketintang Wiyata,528.5,0.0,276.0,276.0,5,17,27
ITS Sukolilo,Universitas Airlangga,2671.2,40.0,312.41,Unknown,240.4,0.0,72.0,72.0,3,3,9
ITS Sukolilo,Universitas Surabaya,5555.8,40.0,680.02,Unknown,500.0,15.0,170.0,180.0,9,5,25
ITS Sukolilo,STTS Surabaya,8068.6,40.0,1027.17,Unknown,726.2,30.0,281.0,301.0,31,6,22
ITS Sukolilo,Galaxy Mall,3540.5,40.0,411.64,Unknown,318.6,0.0,93.0,93.0,3,3,16
ITS Sukolilo,Stasiun Gubeng,8139.1,40.0,1040.52,Unknown,732.5,30.0,288.0,308.0,31,7,21
ITS Sukolilo,RSUD Dr. Soetomo,8508.7,40.0,1069.78,Unknown,765.8,0.0,304.0,304.0,30,10,18
ITS Sukolilo,RS Premier Surabaya,6861.4,40.0,856.53,Unknown,617.5,15.0,229.0,239.0,22,5,23
ITS Sukolilo,Monkasel Surabaya,7963.4,40.0,1030.71,Unknown,716.7,45.0,282.0,314.0,35,5,19
ITS Sukolilo,Simpang Kenjeran,9101.8,40.0,1125.16,Unknown,819.2,0.0,306.0,306.0,14,11,42
ITS Sukolilo,Simpang Jl. Diponegoro,7733.9,40.0,977.05,Unknown,696.1,0.0,281.0,281.0,26,10,17
ITS Sukolilo,Simpang HR Muhammad,7442.9,40.0,925.86,Unknown,669.9,0.0,256.0,256.0,11,12,27
ITS Sukolilo,Simpang Mulyosari,5817.0,40.0,704.53,Unknown,523.5,0.0,181.0,181.0,5,6,32
Universitas Airlangga,Universitas Surabaya,2884.6,40.0,367.61,Jalan Doktor Insinyur Haji Soekarno,259.6,15.0,98.0,108.0,6,2,16
Universitas Airlangga,STTS Surabaya,5913.6,40.0,801.22,Unknown,532.2,60.0,225.0,269.0,21,3,30
Universitas Airlangga,Galaxy Mall,869.3,40.0,99.24,Jalan Doktor Insinyur Haji Soekarno,78.2,0.0,21.0,21.0,0,0,7
Universitas Airlangga,Stasiun Gubeng,5984.1,40.0,814.57,Unknown,538.6,60.0,232.0,276.0,21,4,29
Universitas Airlangga,RSUD Dr. Soetomo,5493.8,40.0,740.44,Unknown,494.4,0.0,246.0,246.0,32,5,12
Universitas Airlangga,RS Premier Surabaya,4190.2,40.0,544.12,Jalan Doktor Insinyur Haji Soekarno,377.1,15.0,157.0,167.0,19,2,14
Universitas Airlangga,Monkasel Surabaya,5808.4,40.0,804.76,Unknown,522.8,75.0,226.0,282.0,25,2,27
Universitas Airlangga,Simpang Jl. Diponegoro,4719.0,40.0,647.71,Unknown,424.7,0.0,223.0,223.0,28,5,11
Universitas Airlangga,Simpang HR Muhammad,4428.0,40.0,596.52,Unknown,398.5,0.0,198.0,198.0,13,7,21
Universitas Airlangga,Simpang Mulyosari,4166.0,40.0,524.94,Unknown,374.9,0.0,150.0,150.0,3,3,35
Universitas Surabaya,Galaxy Mall,2598.9,39.1,346.09,Jalan Semolowaru Tengah VII,257.1,0.0,89.0,89.0,1,3,18
Universitas Surabaya,Ciputra World,5867.4,40.0,838.07,Jalan Semolowaru Tengah VII,528.1,0.0,310.0,310.0,47,3,15
Universitas Surabaya,RS Premier Surabaya,1948.5,40.0,300.37,Jalan Semolowaru Tengah VII,175.4,0.0,125.0,125.0,14,4,5
Universitas Surabaya,Simpang Jl. Diponegoro,5941.5,40.0,825.73,Jalan Semolowaru Tengah VII,534.7,0.0,291.0,291.0,40,4,17
Universitas Surabaya,Simpang HR Muhammad,3693.5,40.0,552.41,Jalan Semolowaru Tengah VII,332.4,0.0,220.0,220.0,30,4,10
Universitas Surabaya,Simpang Mulyosari,7316.2,39.7,911.65,Jalan Semolowaru Tengah VII,681.7,0.0,230.0,230.0,3,5,55
Universitas Negeri UM,STTS Surabaya,3687.5,40.0,522.87,Jalan Kedungsari,331.9,0.0,191.0,191.0,2,13,17
Universitas Negeri UM,Tunjungan Plaza,1957.1,40.0,293.14,Jalan Kedungsari,176.1,45.0,88.0,117.0,2,3,16
Universitas Negeri UM,Grand City Mall,4004.9,40.0,614.44,Jalan Kedungsari,360.4,45.0,225.0,254.0,2,14,25
Universitas Negeri UM,BG Junction,2685.4,40.0,365.69,Jalan Kedungsari,241.7,0.0,124.0,124.0,2,6,18
Universitas Negeri UM,Ciputra World,3891.6,40.0,487.24,Jalan Kedungsari,350.2,15.0,125.0,137.0,2,4,25
Universitas Negeri UM,Royal Plaza,6498.8,40.0,822.89,Jalan Kedungsari,584.9,15.0,226.0,238.0,6,7,42
Universitas Negeri UM,Stasiun Gubeng,4321.6,40.0,604.94,Jalan Kedungsari,388.9,30.0,192.0,216.0,3,12,19
