osmid,lat,lon
257690921,-7.2586841,112.7331567
257690940,-7.2592987,112.7427434
257690943,-7.2783984,112.7558999
257690959,-7.2935681,112.7552247
257690962,-7.2936693,112.7599683
257690965,-7.3000135,112.7697071
257690969,-7.3025256,112.769633
257690976,-7.3025444,112.7711418
263695201,-7.2511623,112.7479625
263695365,-7.2495208,112.746203
263695371,-7.2501425,112.7484946
263696242,-7.2484837,112.7469015
263696248,-7.2489049,112.7496213
263697011,-7.2490047,112.7516462
263697835,-7.2446514,112.7477692
263697957,-7.2453048,112.7514571
263697962,-7.2407212,112.7530466
264844317,-7.2486461,112.7505599
264847866,-7.2478941,112.7424058
264847870,-7.2481724,112.7439542
264847875,-7.2482571,112.746436
264847939,-7.2474219,112.7389585
264847944,-7.247749,112.7419432
264870002,-7.2448146,112.7432433
264870008,-7.2447636,112.7453799
264870234,-7.242874,112.739761
264870430,-7.2459836,112.7432953
264874780,-7.243274,112.7381768
264874783,-7.2462838,112.7386403
264874785,-7.2472031,112.7385968
264874789,-7.2494321,112.7377148
264874790,-7.2502491,112.7372481
264874793,-7.2511852,112.7367147
264874797,-7.2525484,112.7368055
264875013,-7.2483085,112.7389852
264875025,-7.252146,112.7369225
264875495,-7.2549501,112.7368447
264876243,-7.2563854,112.7428444
264877854,-7.2541241,112.7472658
264877855,-7.2532721,112.7474882
264877857,-7.2524238,112.7477786
264877910,-7.2524634,112.7479189
264878092,-7.2562958,112.7539341
264878094,-7.2561486,112.7536447
264878096,-7.2559755,112.7486571
264880519,-7.2486061,112.7464882
264880529,-7.2524472,112.7442743
264880543,-7.2556103,112.7428035
265052569,-7.2556426,112.7541024
265052574,-7.2551091,112.7543911
265052581,-7.2527217,112.7550316
265052656,-7.2549368,112.7473522
265052657,-7.2549182,112.7472526
265052798,-7.254132,112.7474584
265052983,-7.2537482,112.7456011
265053121,-7.2518275,112.7479558
265053166,-7.2528713,112.7478016
265053184,-7.2533209,112.747669
265058389,-7.2487077,112.7576302
265058393,-7.2492803,112.7605098
265058400,-7.2512098,112.7677669
266073785,-7.252544,112.7420514
266073797,-7.2527901,112.7432509
266073961,-7.2530864,112.7432792
266073966,-7.2541801,112.7441504
266073996,-7.2522858,112.7433163
266074403,-7.2530643,112.7566966
266074404,-7.2533043,112.7576443
266074418,-7.2509514,112.7553768
266074500,-7.2509776,112.7555299
266074506,-7.2513382,112.7585609
266074643,-7.2582278,112.7537733
266142126,-7.2552133,112.7550123
266142127,-7.255306,112.7561617
266142128,-7.2550722,112.756238
266142130,-7.2551934,112.7566808
266142136,-7.2553735,112.7577716
266142143,-7.2560206,112.7578316
266142396,-7.2589133,112.7559605
266142549,-7.2542986,112.761513
266142556,-7.2550819,112.7595828
266142561,-7.2561588,112.7580909
266142786,-7.2550756,112.7652218
266142791,-7.254879,112.763686
266142792,-7.254878,112.7635116
